,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2313,5.232196191682565e-24,3.1504818032445042e-24,4.217608998087496e-24,5.56502585246736e-24,7.251039884759349e-24
MEG2322,7.539254042616644e-24,4.608758895867089e-24,4.677775040552954e-24,7.430909776137691e-24,1.0156316779942858e-23
MEG2323,1.1735243877994573e-23,8.468195009973658e-24,8.033272697832265e-24,8.716159665423652e-24,8.54056686753349e-24
MEG2332,1.3390696438091713e-23,8.412099669866601e-24,6.093160431749598e-24,1.0535164319813465e-23,1.240504554792729e-23
MEG2333,1.0765562268796966e-23,7.187105178321673e-24,6.4216335313705036e-24,1.1776635485142978e-23,2.248620740399293e-23
MEG2342,9.556031350317792e-24,7.788975474126132e-24,7.269090471727899e-24,8.209811076431374e-24,7.256376563999979e-24
MEG2343,8.473085996632205e-24,6.635520856012314e-24,7.14832023229511e-24,8.723086790841794e-24,1.0267445958594187e-23
MEG2412,6.713243802242506e-24,5.657279474553081e-24,4.981797597443339e-24,5.905003657663799e-24,6.422601018684329e-24
MEG2413,5.215531327517165e-24,3.4626862525153685e-24,3.416762868072938e-24,4.108033211119358e-24,4.664843218002959e-24
MEG2422,8.429550782522686e-24,6.2091533704381234e-24,5.075149142604734e-24,7.548420289396176e-24,9.352797756726391e-24
MEG2423,7.870720798067192e-24,6.014090428791696e-24,4.944462149429536e-24,6.657007614961388e-24,7.059638557209457e-24
MEG2432,7.892831413190909e-24,5.81815328101493e-24,5.915154099669983e-24,7.310544264414722e-24,7.422374181666465e-24
MEG2433,1.0475695195999858e-23,7.53691934940434e-24,6.58698582516641e-24,7.321877835495947e-24,7.770010374290033e-24
MEG2442,6.915743201046213e-24,5.6215046818685026e-24,6.862548195639687e-24,6.287815280965818e-24,6.120049042055191e-24
MEG2443,3.538559661277575e-24,3.1492690457229813e-24,2.768496176688862e-24,4.350029876784111e-24,5.679670632676183e-24
MEG2512,1.1283212315661346e-23,7.004447621539731e-24,5.2793580800706885e-24,8.698426096603874e-24,1.2848104874642374e-23
MEG2513,1.0261458526187749e-23,7.283460723808419e-24,5.838848039708598e-24,1.2607937079307966e-23,2.2353535102146068e-23
MEG2522,1.1826373205810107e-23,5.720381911734685e-24,5.4002810684548254e-24,8.150340485877398e-24,1.0773389657893057e-23
MEG2523,6.111987254528224e-24,4.912345597848153e-24,6.052156611439948e-24,6.997913400069927e-24,7.75865256031988e-24
MEG2532,3.7584241031022775e-24,2.7461799019659633e-24,2.745079319976647e-24,7.22687677834147e-24,1.1975301696450403e-23
MEG2533,1.813572584480081e-23,9.782987481172172e-24,8.776153985024435e-24,1.6796789085823856e-23,1.687507745051666e-23
MEG2542,4.829361395359758e-24,3.229148976666014e-24,3.427892365084978e-24,1.211880975320755e-23,2.2711573772957977e-23
MEG2543,1.7341129303407982e-23,9.790294723384907e-24,8.754197377864645e-24,1.5901226761734693e-23,2.321247356360132e-23
MEG2612,1.2060605176755098e-23,6.647962694632651e-24,6.2094013833875025e-24,9.133780819488092e-24,9.835734310534669e-24
MEG2613,7.692927177581553e-24,4.949220034681918e-24,5.0183298588997145e-24,7.302561726664213e-24,1.117954861185402e-23
MEG2622,6.458685746441625e-24,5.1321492638743565e-24,3.8390392109303384e-24,8.982761644472437e-24,1.3974632053588377e-23
MEG2623,1.3443659693049212e-23,5.84210796667501e-24,4.149947024954339e-24,9.939493086831815e-24,8.93837221886561e-24
MEG2632,2.465605603222734e-24,2.0461751136471373e-24,2.097913775670319e-24,5.6095662086614296e-24,8.794789613050154e-24
MEG2633,1.5594405244889174e-23,7.339162991221492e-24,6.218001977702415e-24,1.3846587959274365e-23,1.1497951415052712e-23
MEG2642,1.2061637849832012e-23,6.280013998919822e-24,5.9024324593586534e-24,7.803106977390151e-24,7.862897406019855e-24
MEG2643,5.428398506634014e-24,4.701714901903997e-24,4.859392730081994e-24,7.150355791787557e-24,8.795585524019311e-24
